value,date
-0.2,1980-01-01
2.5,1981-01-01
-1.8,1982-01-01
4.6,1983-01-01
7.2,1984-01-01
4.2,1985-01-01
3.5,1986-01-01
3.5,1987-01-01
4.2,1988-01-01
3.7,1989-01-01
1.9,1990-01-01
-0.1,1991-01-01
3.6,1992-01-01
2.8,1993-01-01
4.0,1994-01-01
2.7,1995-01-01
3.8,1996-01-01
4.5,1997-01-01
4.4,1998-01-01
4.8,1999-01-01
4.1,2000-01-01
1.0,2001-01-01
1.7,2002-01-01
2.9,2003-01-01
3.8,2004-01-01
3.5,2005-01-01
2.8,2006-01-01
1.9,2007-01-01
-0.1,2008-01-01
-2.6,2009-01-01
2.7,2010-01-01
1.6,2011-01-01
2.2,2012-01-01
1.8,2013-01-01
2.5,2014-01-01
2.9,2015-01-01
