h,n,ens_mean,ew_mean,improvement_vs_EW
1,4,0.363179625,0.363179625,0.0
2,4,0.5135443749999999,0.5135443749999999,0.0
3,4,0.027961125,0.027961125,0.0
4,4,0.0267379375,0.0267379375,0.0
5,4,0.18555112500000004,0.18555112500000004,0.0
6,4,0.19873037499999996,0.19873037499999996,0.0
7,4,0.1881069374999999,0.1881069374999999,0.0
8,4,0.0247441875,0.0247441875,0.0
9,4,0.18737943749999994,0.18737943749999994,0.0
10,4,0.18958818749999995,0.18958818749999995,0.0
11,4,0.0278595625,0.0278595625,0.0
12,4,0.3506129375,0.3506129375,0.0
13,4,0.350694875,0.350694875,0.0
14,4,0.031473562499999996,0.031473562499999996,0.0
15,4,0.1980048125,0.1980048125,0.0
