origin,h,ens_brier,ew_brier,w_HSM_chatgpt,w_FSM_chatgpt,w_HSM_grok,w_FSM_grok
1985,1,0.7473602500000001,0.7473602500000001,0.25,0.25,0.25,0.25
1985,2,0.6864122500000001,0.6864122500000001,0.25,0.25,0.25,0.25
1985,3,0.03222025,0.03222025,0.25,0.25,0.25,0.25
1985,4,0.03258025,0.03258025,0.25,0.25,0.25,0.25
1985,5,0.024964,0.024964,0.25,0.25,0.25,0.25
1985,6,0.0308002499999999,0.0308002499999999,0.25,0.25,0.25,0.25
1985,7,0.66994225,0.66994225,0.25,0.25,0.25,0.25
1985,8,0.01729225,0.01729225,0.25,0.25,0.25,0.25
1985,9,0.67486225,0.67486225,0.25,0.25,0.25,0.25
1985,10,0.02772225,0.02772225,0.25,0.25,0.25,0.25
1985,11,0.02839225,0.02839225,0.25,0.25,0.25,0.25
1985,12,0.68310225,0.68310225,0.25,0.25,0.25,0.25
1985,13,0.032761,0.032761,0.25,0.25,0.25,0.25
1985,14,0.02941225,0.02941225,0.25,0.25,0.25,0.25
1985,15,0.024964,0.024964,0.25,0.25,0.25,0.25
1990,1,0.037636,0.037636,0.25,0.25,0.25,0.25
1990,2,0.669124,0.669124,0.25,0.25,0.25,0.25
1990,3,0.0225,0.0225,0.25,0.25,0.25,0.25
1990,4,0.022801,0.022801,0.25,0.25,0.25,0.25
1990,5,0.04141225,0.04141225,0.25,0.25,0.25,0.25
1990,6,0.023716,0.023716,0.25,0.25,0.25,0.25
1990,7,0.0308002499999999,0.0308002499999999,0.25,0.25,0.25,0.25
1990,8,0.02673225,0.02673225,0.25,0.25,0.25,0.25
1990,9,0.01974025,0.01974025,0.25,0.25,0.25,0.25
1990,10,0.66667225,0.66667225,0.25,0.25,0.25,0.25
1990,11,0.026569,0.026569,0.25,0.25,0.25,0.25
1990,12,0.025921,0.025921,0.25,0.25,0.25,0.25
1990,13,0.68807025,0.68807025,0.25,0.25,0.25,0.25
1990,14,0.034969,0.034969,0.25,0.25,0.25,0.25
1990,15,0.02480625,0.02480625,0.25,0.25,0.25,0.25
2015,1,0.64400625,0.64400625,0.25,0.25,0.25,0.25
2015,2,0.6674889999999999,0.6674889999999999,0.25,0.25,0.25,0.25
2015,3,0.02544025,0.02544025,0.25,0.25,0.25,0.25
2015,4,0.02418025,0.02418025,0.25,0.25,0.25,0.25
2015,5,0.6464160000000001,0.6464160000000001,0.25,0.25,0.25,0.25
2015,6,0.0297562499999999,0.0297562499999999,0.25,0.25,0.25,0.25
2015,7,0.0217562499999999,0.0217562499999999,0.25,0.25,0.25,0.25
2015,8,0.026896,0.026896,0.25,0.25,0.25,0.25
2015,9,0.0216089999999999,0.0216089999999999,0.25,0.25,0.25,0.25
2015,10,0.0301022499999999,0.0301022499999999,0.25,0.25,0.25,0.25
2015,11,0.023716,0.023716,0.25,0.25,0.25,0.25
2015,12,0.02512225,0.02512225,0.25,0.25,0.25,0.25
2015,13,0.6464160000000001,0.6464160000000001,0.25,0.25,0.25,0.25
2015,14,0.024649,0.024649,0.25,0.25,0.25,0.25
2015,15,0.7140249999999999,0.7140249999999999,0.25,0.25,0.25,0.25
2020,1,0.023716,0.023716,0.25,0.25,0.25,0.25
2020,2,0.0311522499999999,0.0311522499999999,0.25,0.25,0.25,0.25
2020,3,0.031684,0.031684,0.25,0.25,0.25,0.25
2020,4,0.02739025,0.02739025,0.25,0.25,0.25,0.25
2020,5,0.02941225,0.02941225,0.25,0.25,0.25,0.25
2020,6,0.710649,0.710649,0.25,0.25,0.25,0.25
2020,7,0.0299289999999999,0.0299289999999999,0.25,0.25,0.25,0.25
2020,8,0.02805625,0.02805625,0.25,0.25,0.25,0.25
2020,9,0.0333062499999999,0.0333062499999999,0.25,0.25,0.25,0.25
2020,10,0.033856,0.033856,0.25,0.25,0.25,0.25
2020,11,0.032761,0.032761,0.25,0.25,0.25,0.25
2020,12,0.66830625,0.66830625,0.25,0.25,0.25,0.25
2020,13,0.03553225,0.03553225,0.25,0.25,0.25,0.25
2020,14,0.036864,0.036864,0.25,0.25,0.25,0.25
2020,15,0.028224,0.028224,0.25,0.25,0.25,0.25
