"id","group","description","ok","detail"
"dir.configs","structure","configs/ exists","True",""
"dir.data","structure","data/{raw,processed,docsheets} exist","True",""
"dir.eval","structure","eval/results/{diagnostics,v2} exist","True",""
"dir.models","structure","models/HSM_*/, FSM_*/ exist","True",""
"dir.misc","structure","bias_logs/, ensemble/, validation_nonUS/, reports/ exist","True",""
"cfg.configs_experiment.yml","configs","configs\experiment.yml present","True",""
"cfg.configs_scoring.yml","configs","configs\scoring.yml present","True",""
"cfg.configs_indicators.yml","configs","configs\indicators.yml present","True",""
"cfg.configs_baselines.yml","configs","configs\baselines.yml present","True",""
"cfg.configs_indicator_transform_spec.yml","configs","configs\indicator_transform_spec.yml present","True",""
"tpl.TEMPLATE_data_sheet.md","templates","TEMPLATE_data_sheet.md present","True",""
"tpl.TEMPLATE_model_card.md","templates","TEMPLATE_model_card.md present","True",""
"tpl.TEMPLATE_bias_log.md","templates","TEMPLATE_bias_log.md present","True",""
"tpl.TEMPLATE_scorecard.csv","templates","TEMPLATE_scorecard.csv present","True",""
"tpl.TEMPLATE_run_manifest.json","templates","TEMPLATE_run_manifest.json present","True",""
"content.experiment.ecc","configs","experiment.yml mentions ecc_enabled","True",""
"content.experiment.stacking","configs","experiment.yml mentions stacking/fforma","True",""
"content.scoring.calib","configs","scoring.yml has calibration_targets","True",""
"content.scoring.mv","configs","scoring.yml has multivariate_postproc (ECC/Schaake)","True",""
"content.scoring.conformal","configs","scoring.yml mentions conformal (CQR/EnbPI) or split-conformal","True",""
"content.acceptance","configs","experiment.yml has acceptance gate rules","True",""
"content.tests","configs","experiment.yml lists DM/Clarkâ€","McCracken/Giacominiâ€White","True"
"content.penalty","configs","experiment.yml has lambda_penalty_grid","True",""
"data.vintages","data","data/vintages.md exists","True",""
"data.revisions","data","data/revisions.md exists","True",""
"score.1985.metrics","scored","FINAL_1985: metrics_by_horizon.csv present","True",""
"score.1985.covoverall","scored","FINAL_1985: coverage_overall.csv present","True",""
"score.1985.crpsbrier","scored","FINAL_1985: crps_brier_summary.csv present","True",""
"score.1985.significance","scored","FINAL_1985: significance/ (FDR) present","True",""
"score.1990.metrics","scored","FINAL_1990: metrics_by_horizon.csv present","True",""
"score.1990.covoverall","scored","FINAL_1990: coverage_overall.csv present","True",""
"score.1990.crpsbrier","scored","FINAL_1990: crps_brier_summary.csv present","True",""
"score.1990.significance","scored","FINAL_1990: significance/ (FDR) present","True",""
"score.1995.metrics","scored","FINAL_1995: metrics_by_horizon.csv present","True",""
"score.1995.covoverall","scored","FINAL_1995: coverage_overall.csv present","True",""
"score.1995.crpsbrier","scored","FINAL_1995: crps_brier_summary.csv present","True",""
"score.1995.significance","scored","FINAL_1995: significance/ (FDR) present","True",""
"score.2000.metrics","scored","FINAL_2000: metrics_by_horizon.csv present","True",""
"score.2000.covoverall","scored","FINAL_2000: coverage_overall.csv present","True",""
"score.2000.crpsbrier","scored","FINAL_2000: crps_brier_summary.csv present","True",""
"score.2000.significance","scored","FINAL_2000: significance/ (FDR) present","True",""
"score.2005.metrics","scored","FINAL_2005: metrics_by_horizon.csv present","True",""
"score.2005.covoverall","scored","FINAL_2005: coverage_overall.csv present","True",""
"score.2005.crpsbrier","scored","FINAL_2005: crps_brier_summary.csv present","True",""
"score.2005.significance","scored","FINAL_2005: significance/ (FDR) present","True",""
"score.2010.metrics","scored","FINAL_2010: metrics_by_horizon.csv present","True",""
"score.2010.covoverall","scored","FINAL_2010: coverage_overall.csv present","True",""
"score.2010.crpsbrier","scored","FINAL_2010: crps_brier_summary.csv present","True",""
"score.2010.significance","scored","FINAL_2010: significance/ (FDR) present","True",""
"score.2015.metrics","scored","FINAL_2015: metrics_by_horizon.csv present","True",""
"score.2015.covoverall","scored","FINAL_2015: coverage_overall.csv present","True",""
"score.2015.crpsbrier","scored","FINAL_2015: crps_brier_summary.csv present","True",""
"score.2015.significance","scored","FINAL_2015: significance/ (FDR) present","True",""
"score.2020.metrics","scored","FINAL_2020: metrics_by_horizon.csv present","True",""
"score.2020.covoverall","scored","FINAL_2020: coverage_overall.csv present","True",""
"score.2020.crpsbrier","scored","FINAL_2020: crps_brier_summary.csv present","True",""
"score.2020.significance","scored","FINAL_2020: significance/ (FDR) present","True",""
"diag.1985","diagnostics","FINAL_1985: coverage_points_calibrated.csv non-empty","True",""
"diag.1990","diagnostics","FINAL_1990: coverage_points_calibrated.csv non-empty","True",""
"diag.1995","diagnostics","FINAL_1995: coverage_points_calibrated.csv non-empty","True",""
"diag.2000","diagnostics","FINAL_2000: coverage_points_calibrated.csv non-empty","True",""
"diag.2005","diagnostics","FINAL_2005: coverage_points_calibrated.csv non-empty","True",""
"diag.2010","diagnostics","FINAL_2010: coverage_points_calibrated.csv non-empty","True",""
"diag.2015","diagnostics","FINAL_2015: coverage_points_calibrated.csv non-empty","True",""
"diag.2020","diagnostics","FINAL_2020: coverage_points_calibrated.csv non-empty","True",""
"losshdr.1985","scored","FINAL_1985: loss_differences.csv header OK","True",""
"losshdr.1990","scored","FINAL_1990: loss_differences.csv header OK","True",""
"losshdr.1995","scored","FINAL_1995: loss_differences.csv header OK","True",""
"losshdr.2000","scored","FINAL_2000: loss_differences.csv header OK","True",""
"losshdr.2005","scored","FINAL_2005: loss_differences.csv header OK","True",""
"losshdr.2010","scored","FINAL_2010: loss_differences.csv header OK","True",""
"losshdr.2015","scored","FINAL_2015: loss_differences.csv header OK","True",""
"losshdr.2020","scored","FINAL_2020: loss_differences.csv header OK","True",""
